순위,주차,일정,교육구분,기수,교육과정,교육장소,교육전반 만족도,역량향상도,현업적용도,교과편성,강사선정,교육기간,교육방법,교육지원 만족도,교육지원,강사강의 만족도,종합만족도
87위,4월4주차,4.23.~4.25.,직무(전문),1,저수지·댐 안전관리 과정,인재개발원,4.33 ,4.57 ,4.47 ,4.37 ,4.27 ,4.30 ,4.30 ,4.53 ,4.53 ,4.44 ,4.41 
88위,2월3주차,2.13.~2.14.,직무(전문),1,교육담당자 역량향상 과정,인재개발원,4.44 ,4.44 ,4.56 ,4.33 ,4.44 ,4.22 ,4.33 ,4.56 ,4.56 ,4.59 ,4.40 
89위,6월4주차,6.26.~6.27.,직무(전문),1,재난안전 통신망 과정,인재개발원,4.53 ,4.40 ,4.33 ,4.40 ,4.33 ,4.33 ,4.47 ,4.37 ,4.33 ,4.57 ,4.39 
90위,5월2주차,5.9.,기본(기본),1,공직자 이해충돌 방지 과정,온라인,4.46 ,4.29 ,4.33 ,4.46 ,4.42 ,4.38 ,4.46 ,4.44 ,4.42 ,4.58 ,4.39 
91위,3월4주차,3.19.~3.21.,직무(전문),1,토목실무 과정,인재개발원,4.32 ,4.32 ,4.36 ,4.14 ,4.36 ,4.45 ,4.32 ,4.34 ,4.27 ,4.53 ,4.37 
92위,3월3주차,3.12.~3.14.,기본(기본),1,신규공무원 역량향상 심화 과정,인재개발원,4.48 ,4.33 ,4.41 ,4.30 ,4.44 ,4.19 ,4.37 ,4.37 ,4.37 ,4.57 ,4.37 
93위,3월4주차,3.20.~3.21.,핵심(핵심과제),1,경남의 교통과 미래항공 모빌리티(AAM) 산업 과정,인재개발원,4.63 ,4.50 ,4.38 ,4.25 ,4.38 ,4.25 ,4.38 ,4.56 ,4.50 ,4.45 ,4.37 
94위,4월1주차,4.3.~4.4.,직무(공통),1,행사 실무 과정,인재개발원,4.44 ,4.38 ,4.38 ,4.31 ,4.38 ,4.25 ,4.38 ,4.41 ,4.44 ,4.48 ,4.36 
95위,3월5주차,3.26.~3.28.,직무(공통),1,기획능력 향상 과정,인재개발원,4.25 ,4.25 ,4.25 ,4.50 ,4.38 ,4.25 ,4.13 ,4.63 ,4.63 ,4.66 ,4.36 
96위,2월4주차,2.19.,핵심(도민역량),1,보조금단체 회계실무 과정,현장캠퍼스,4.17 ,4.22 ,4.35 ,4.26 ,4.26 ,4.30 ,4.26 ,4.50 ,4.52 ,4.45 ,4.34 
97위,6월1주차,6.4.~6.5.,직무(공통),1,"스마트 경남, 스마트 시티 과정",인재개발원,4.36 ,4.21 ,4.00 ,4.36 ,4.29 ,4.36 ,4.21 ,4.57 ,4.50 ,4.45 ,4.33 
98위,2월5주차,2.26.~2.28.,직무(공통),1,예산회계 실무 과정,인재개발원,4.32 ,4.32 ,4.36 ,4.36 ,4.21 ,4.29 ,4.25 ,4.32 ,4.32 ,4.35 ,4.31 
99위,7월3주차,7.16.~7.18.,핵심(핵심과제),1,경남의 미래산업과 일자리 과정,인재개발원,4.30 ,4.30 ,4.30 ,4.30 ,4.20 ,4.30 ,4.30 ,4.40 ,4.40 ,4.29 ,4.31 
100위,4월1주차,4.2.~4.4.,직무(전문),1,건축 실무 과정,인재개발원,4.19 ,4.30 ,4.15 ,4.00 ,3.96 ,4.22 ,4.11 ,4.50 ,4.56 ,4.49 ,4.27 
102위,3월2주차,3.5.,핵심(도민역량),2,보조금단체 회계실무 과정,인재개발원,4.21 ,4.13 ,4.13 ,4.04 ,4.25 ,4.13 ,4.13 ,4.31 ,4.25 ,4.29 ,4.21 
101위,7월4주차,7.21.~7.25.,기본(기본),3,신규 임용(후보)자 과정,인재개발원,4.21 ,4.16 ,4.09 ,4.13 ,4.20 ,4.13 ,4.15 ,4.26 ,4.25 ,4.51 ,4.23 
103위,5월5주차,5.28.~5.30.,직무(공통),1,강사 양성 과정,인재개발원,4.17 ,4.33 ,4.17 ,3.83 ,4.08 ,3.67 ,3.92 ,4.13 ,4.08 ,4.15 ,4.15 
104위,5월4주차,5.23.,핵심(핵심과제),1,인구소멸 대응과 지역균형 발전 과정,인재개발원,4.33 ,4.22 ,3.89 ,4.11 ,4.22 ,4.00 ,3.89 ,4.33 ,4.33 ,4.28 ,4.12 
105위,5월4주차,5.23.,핵심(도민역량),5,보조금단체 회계실무 과정,현장캠퍼스,3.83 ,3.83 ,3.83 ,3.50 ,4.00 ,3.56 ,3.94 ,3.86 ,3.94 ,4.07 ,3.83 
