순위,주차,교육과정,교과목,종합점수,준비성,전문성,전달력,열의성
545위,7월3주차,중견리더 과정(22주차),가죽공예,4.6667,4.6667,4.6667,4.6667,4.6667
545위,4월3주차,중견리더 과정(9주차),영어,4.6667,4.6667,4.6667,4.6667,4.6667
545위,3월5주차,지방의회 공무원 실무역량 향상 과정,소통을 위한 대화기술 및 공감기법,4.6667,4.6667,4.6667,4.6667,4.6667
545위,7월2주차,투자유치 활성화 과정,글로벌 투자유치 현황과 실무프로세스,4.6667,4.6667,4.6667,4.6667,4.6667
545위,7월2주차,투자유치 활성화 과정,투자유치 법령 및 제도 이해,4.6667,4.6667,4.6667,4.6667,4.6667
545위,7월2주차,투자유치 활성화 과정,경남도 투자유치 우수사례,4.6667,4.6667,4.6667,4.6667,4.6667
561위,7월2주차,중견리더 과정(21주차),사진,4.6665,4.6667,4.6857,4.6471,4.6667
562위,3월3주차,신규 임용(후보)자 과정(2주차),디지털·미래대응 교육 이해 및 실습,4.6657,4.6744,4.6279,4.686,4.6744
563위,3월4주차,신규 임용(후보)자 과정(3주차),독도를 통한 올바른 역사 인식,4.6646,4.6585,4.6341,4.6829,4.6829
564위,6월4주차,중견리더 과정(19주차),한자,4.6641,4.6563,4.6875,4.6563,4.6563
565위,2월5주차,과장급 필수 역량향상 과정,소통을 위한 대화의 기술 공감기법,4.6625,4.65,4.6,4.65,4.75
566위,5월4주차,중견리더 과정(14주차),일본어,4.6621,4.5714,4.7692,4.6154,4.6923
567위,7월2주차,중견리더 과정(21주차),해설이 있는 영화 속 클래식,4.662,4.6667,4.6852,4.6481,4.6481
568위,5월5주차,과장급 필수 역량향상 과정,역량교육의 이해,4.6618,4.6667,4.6471,4.7222,4.6111
569위,5월2주차,"세대와 마음을 잇는 소통 ON, 공감 UP 과정",우리 함께 어울림1,4.661,4.75,4.75,4.4167,4.7273
570위,3월4주차,업무용 오피스 활용 과정,업무에 바로 사용하는 엑셀TIP,4.6607,4.6429,4.6786,4.6786,4.6429
571위,4월2주차,중견리더 과정(8주차),일본어,4.6607,4.5714,4.7857,4.5714,4.7143
572위,3월5주차,중견리더 과정(6주차),행정학,4.6602,4.6447,4.6842,4.6623,4.6494
573위,4월2주차,중견리더 과정(8주차),일본어,4.6595,4.6667,4.7333,4.6667,4.5714
574위,4월1주차,기야사 바로알기 과정,세계유산 가야고분군의 가치이해,4.6591,4.7273,4.8182,4.4545,4.6364
574위,4월3주차,시·군 팀장 리더십 과정,소통을 위한 대화기술 및 공감기법,4.6591,4.6364,4.6364,4.6364,4.7273
576위,3월4주차,신규 임용(후보)자 과정(3주차),보고서 작성 실습,4.6585,4.6585,4.6585,4.6463,4.6707
576위,3월4주차,중견리더 과정(5주차),행정학,4.6585,4.6341,4.6951,4.6585,4.6463
578위,7월1주차,업무용 오피스 활용 과정,엑셀 실무 함수 활용,4.6579,4.65,4.7,4.65,4.6316
579위,7월1주차,업무용 오피스 활용 과정,엑셀 데이터 분석 및 시각화,4.6579,4.65,4.65,4.7,4.6316
580위,3월4주차,신규 임용(후보)자 과정(3주차),성찰 및 비전 수립,4.6574,4.6667,4.642,4.642,4.679
581위,3월4주차,경남의 교통과 미래항공 모빌리티(AAM) 산업 과정,스마트 교통시스템의 개념과 적용사례,4.6563,4.625,4.6875,4.625,4.6875
581위,3월5주차,중견리더 과정(6주차),일본어,4.6563,4.625,4.6875,4.625,4.6875
583위,3월2주차,신규 임용(후보)자 과정(1주차),Open mind/팀빌딩,4.6554,4.6292,4.5909,4.6742,4.7273
584위,3월5주차,6급 승진자 역량향상 과정,생성형 AI의 직무적용,4.6548,4.7619,4.7143,4.6667,4.4762
584위,7월2주차,중견리더 과정(21주차),정리수납,4.6548,4.619,4.6667,4.6667,4.6667
584위,7월3주차,한글 활용 과정,빠른 보고서 작성을 위한 한글 Tip,4.6548,4.6667,4.7143,4.7143,4.5238
587위,6월1주차,중견리더 과정(16주차),일본어,4.6538,4.6429,4.7143,4.6154,4.6429
588위,7월2주차,경남의 복지 과정,소통을 위한 대화의 기술과 공감 기법,4.6538,4.6429,4.7143,4.6429,4.6154
589위,4월1주차,중견리더 과정(7주차),일본어,4.6536,4.6429,4.7333,4.6667,4.5714
590위,4월3주차,신규 임용(후보)자 과정(3주차),일반서무 업무 알아보기,4.6529,4.6667,4.6905,4.5714,4.6829
591위,7월3주차,미래설계 과정,인문학 콘서트,4.6528,4.6667,4.6667,4.6111,4.6667
592위,4월1주차,중견리더 과정(7주차),한자,4.6526,4.5714,4.7143,4.6905,4.6341
593위,3월4주차,신규 임용(후보)자 과정(3주차),일반서무 업무 알아보기,4.6524,4.6585,4.622,4.6707,4.6585
594위,5월1주차,엑셀 활용 과정,쉽고 빠른 데이터 엑셀 표 작성,4.6524,4.6207,4.6552,4.6552,4.6786
595위,4월1주차,신규공무원 역량향상 심화 과정,보도자료 작성,4.6522,4.6522,4.6087,4.6957,4.6522
596위,4월4주차,신규공무원 역량향상 심화 과정,인사말 작성,4.65,4.65,4.65,4.65,4.65
596위,6월3주차,중견리더 과정(18주차),영어,4.65,4.7,4.7,4.6,4.6
598위,7월2주차,중견리더 과정(21주차),리더의 미디어 커뮤니케이션,4.6495,4.6667,4.6032,4.6508,4.6774
599위,4월4주차,중견리더 과정(10주차),행정학,4.6493,4.6389,4.6806,4.6389,4.6389
600위,4월2주차,중견리더 과정(8주차),필라테스,4.6488,4.6429,4.6429,4.6429,4.6667
601위,4월1주차,건축 실무 과정,소통을 위한 대화기술 및 공감기법,4.6481,4.6667,4.6296,4.5926,4.7037
601위,3월3주차,신규공무원 역량향상 심화 과정,엑셀실무,4.6481,4.6296,4.7037,4.6296,4.6296
603위,2월4주차,중견리더 과정(1주차),지속적인 자기개발 방법 제시 및 목표설정,4.6477,4.6591,4.6136,4.6591,4.6591
603위,3월4주차,토목실무 과정,설계도서 작성의 이해,4.6477,4.6364,4.6364,4.6364,4.6818
605위,6월3주차,드론 이해와 실전 활용 과정,조종실습 3,4.6475,4.71,4.65,4.76,4.47
606위,5월3주차,재난관리 실무 과정,소통을 위한 대화의 기술과 공감 기법,4.6464,4.6486,4.5946,4.6757,4.6667
607위,4월4주차,중견리더 과정(10주차),영어,4.6458,4.4167,4.75,4.75,4.6667
607위,6월2주차,중견리더 과정(17주차),사진,4.6458,4.6389,4.6667,4.6389,4.6389
609위,3월3주차,계약실무 과정,계약 법령 체계,4.6454,4.65,4.7,4.6,4.6316
610위,7월3주차,중견리더 과정(22주차),헌법,4.6449,4.6333,4.6721,4.5806,4.6935
611위,5월5주차,한글 활용 과정,문서 편집 고급 팁,4.6447,4.5263,4.6842,4.6842,4.6842
612위,5월5주차,미래설계 과정(2주차),슬기로운 일상속 AI,4.6442,4.6538,4.6923,4.6923,4.5385
613위,4월4주차,시·군 팀장 리더십 과정,갈등해결 및 성과창출 리더십,4.6442,4.65,4.7368,4.5789,4.6111
614위,5월2주차,중견리더 과정(12주차),일본어,4.6431,4.6,4.7143,4.6429,4.6154
615위,7월2주차,경남의 복지 과정,장애인 복지사업의 이해 및 토론,4.6429,4.5714,4.7143,4.6429,4.6429
616위,2월5주차,중견리더 과정(2주차),보이스트레이닝,4.6423,4.6386,4.6867,4.6265,4.6173
617위,3월3주차,신규 임용(후보)자 과정(2주차),공무원 노사관계의 이해,4.6414,4.6471,4.6395,4.6512,4.6279
618위,2월5주차,7·8급 승진자 역량향상 과정,덜 지치는 직장생활,4.6413,4.6957,4.6522,4.6522,4.5652
619위,3월2주차,계약실무 과정,적격심사 및 감사지적사례,4.6406,4.6875,4.625,4.625,4.625
619위,5월3주차,신규공무원 역량향상 심화 과정,엑셀실무,4.6406,4.6563,4.6563,4.6563,4.5938
619위,4월4주차,중견리더 과정(10주차),일본어,4.6406,4.6875,4.5,4.6875,4.6875
622위,4월4주차,미래설계 과정(1주차),시간관리 생애설계,4.6405,4.7209,4.6136,4.6136,4.6136
623위,4월4주차,신규공무원 역량향상 심화 과정,e호조 지출·회계 실무,4.64,4.67,4.58,4.64,4.67
624위,3월3주차,보조금 담당자 실무 과정,지방보조금 관리시스템(보탬e) 활용,4.6396,4.6111,4.6316,4.6316,4.6842
625위,2월3주차,교육 담당자 역량향상 과정,소통을 위한 대화기술 공감기법,4.6389,4.6667,4.6667,4.5556,4.6667
626위,7월2주차,중견리더 과정(21주차),리더의 언어,4.6389,4.619,4.6508,4.619,4.6667
626위,3월4주차,중견리더 과정(5주차),한국사,4.6389,4.6111,4.7222,4.6111,4.6111
628위,2월5주차,중견리더 과정(2주차),헌법,4.6382,4.6471,4.6471,4.6588,4.6
629위,4월4주차,중견리더 과정(10주차),일본어,4.638,4.5714,4.75,4.6154,4.6154
630위,7월1주차,업무용 오피스 활용 과정,문서 작성 실무 활용,4.6375,4.6,4.65,4.65,4.65
631위,6월2주차,중견리더 과정(17주차),탁구,4.6364,4.6364,4.6364,4.6364,4.6364
631위,6월4주차,중견리더 과정(19주차),일본어,4.6364,4.6364,4.6364,4.6364,4.6364
631위,6월4주차,중견리더 과정(19주차),가죽공예,4.6364,4.6364,4.6364,4.6364,4.6364
631위,7월3주차,중견리더 과정(22주차),영어,4.6364,4.6364,4.6364,4.6364,4.6364
631위,2월5주차,중견리더 과정(2주차),영어,4.6364,4.5909,4.6364,4.6818,4.6364
631위,4월2주차,중견리더 과정(8주차),탁구,4.6364,4.6364,4.6364,4.6364,4.6364
631위,5월4주차,홍보실무 과정,지방보조금 관리시스템(보탬e) 활용,4.6364,4.6364,4.6364,4.6364,4.6364
638위,7월4주차,공공언어 바르게 쓰기 과정,공공언어의 개념 및 특성,4.6346,4.6154,4.6154,4.6154,4.6923
