교과목,교육과정,교육주차,강사강의 만족도,순위
승강기 설비의 이해 실습,제4기 재난관리 실무 과정,2024년 9월 4주차,4.81,219위
라탄공예,제21기 중견리더 과정,2024년 11월 3주차,4.8075,225위
행사준비,제2기 행사실무 과정,2024년 8월 5주차,4.8075,225위
한글 활용능력 2배 활용,제4기 업무용 오피스 활용 과정,2024년 10월 3주차,4.8075,225위
매체별 효과적인 홍보방법,제1기 1인 방송과 영상제작 과정,2024년 7월 1주차,4.8075,225위
홍보영상 제작의 준비,제1기 1인 방송과 영상제작 과정,2024년 7월 1주차,4.8075,225위
팀장의 보고 및 발표스킬,제7기 시·군 팀장 리더십 과정,2024년 12월 2주차,4.805555556,230위
소통을 위한 대화기술 및 공감기법,제7기 시·군 팀장 리더십 과정,2024년 12월 2주차,4.805555556,230위
파워포인트 실습2,제1기 파워포인트 활용(초급) 과정,2024년 6월 4주차,4.805,232위
상황에 맞는 플랫폼 활용 실습,제2기 디자인 플랫폼 활용 과정,2024년 11월 3주차,4.805,232위
업무 속도를 빠르게 도와주는 유틸리티 활용,제1기 스마트기기 활용 과정,2024년 4월 3주차,4.805,232위
보고서 작성 실무,제3기 신규공무원 역량향상 심화 과정,2024년 5월 2주차,4.805,232위
역량에 대한 이해,제1기 시·군 팀장 역량향상 과정,2024년 4월 3주차,4.8025,236위
기본 보이스 트레이닝,제3기 명품 스피치 과정,2024년 12월 3주차,4.800438596,237위
성별영향평가 정책개선 우수사례 연구,제1기 성별영향평가 과정,2024년 4월 2주차,4.8,238위
애자일 조직에서 부서장의 역할,제2기 과장급 필수 역량향상 과정,2024년 7월 2주차,4.7975,239위
조직성과 창출을 위한 리더십,제2기 과장급 필수 역량향상 과정,2024년 7월 2주차,4.7975,239위
언론과의 효과적 소통 및 대응,제2기 과장급 필수 역량향상 과정,2024년 7월 2주차,4.7975,239위
소통을 위한 대화의 기술과 공감 기법,제2기 과장급 필수 역량향상 과정,2024년 7월 2주차,4.7975,239위
조직 내·외 갈등해결 및 효율적 관리,제2기 과장급 필수 역량향상 과정,2024년 7월 2주차,4.7975,239위
엑셀 실무,제3기 신규공무원 역량향상 심화 과정,2024년 5월 2주차,4.7975,239위
비전만들기,제2기 과장급 필수 역량향상 과정,2024년 7월 2주차,4.7975,239위
라탄공예,제21기 중견리더 과정,2024년 7월 1주차,4.7975,246위
업무효율을 높이는 윈도우 활용 기능,제3기 스마트기기 활용 과정,2024년 10월 5주차,4.7975,246위
행정학,제21기 중견리더 과정,2024년 5월 2주차,4.795,248위
생성형 AI의 직무적용,제3기 7·8급 승진자 역량향상 과정,2024년 6월 4주차,4.795,248위
저작권 유의 사항,제1기 1인 방송과 영상제작 과정,2024년 7월 1주차,4.795,248위
분임연구지도,제21기 중견리더 과정,2024년 5월 2주차,4.7925,251위
바람직한 공직관 실천,제8기 신규임용(후보)자 과정,2024년 9월 4주차,4.7925,251위
중국어,제21기 중견리더 과정,2024년 8월 3주차,4.79,253위
사진,제21기 중견리더 과정,2024년 10월 4주차,4.79,253위
일본어B,제21기 중견리더 과정,2024년 8월 3주차,4.79,253위
수사인권 및 수사서류 작성 실무 사례,제1기 특별사법경찰 실무 과정,2024년 2월 4주차,4.79,253위
